exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NASDAQ,BBND,2010-02-08,2.92,2.98,2.86,2.96,483800,2.96
NASDAQ,BBND,2010-02-05,2.85,2.94,2.79,2.93,884000,2.93
NASDAQ,BBND,2010-02-04,2.83,2.88,2.78,2.83,1333300,2.83
NASDAQ,BBND,2010-02-03,2.98,3.03,2.80,2.83,1015800,2.83
NASDAQ,BBND,2010-02-02,3.05,3.10,2.96,2.97,513100,2.97
NASDAQ,BBND,2010-02-01,3.11,3.13,3.00,3.04,997000,3.04
NASDAQ,BBND,2010-01-29,3.01,3.14,2.96,3.14,1132900,3.14
NASDAQ,BBND,2010-01-28,3.09,3.10,2.97,2.99,480100,2.99
NASDAQ,BBND,2010-01-27,3.08,3.14,3.05,3.08,548100,3.08
NASDAQ,BBND,2010-01-26,3.16,3.20,3.10,3.10,497700,3.10
NASDAQ,BBND,2010-01-25,3.26,3.27,3.17,3.18,587100,3.18
NASDAQ,BBND,2010-01-22,3.26,3.31,3.24,3.24,657700,3.24
NASDAQ,BBND,2010-01-21,3.34,3.39,3.22,3.25,903000,3.25
NASDAQ,BBND,2010-01-20,3.35,3.42,3.29,3.33,2012800,3.33
NASDAQ,BBND,2010-01-19,3.40,3.43,3.32,3.37,769600,3.37
NASDAQ,BBND,2010-01-15,3.32,3.43,3.30,3.39,469000,3.39
NASDAQ,BBND,2010-01-14,3.26,3.36,3.26,3.30,4479600,3.30
NASDAQ,BBND,2010-01-13,3.36,3.36,3.22,3.28,509800,3.28
NASDAQ,BBND,2010-01-12,3.53,3.53,3.30,3.34,1292800,3.34
NASDAQ,BBND,2010-01-11,3.60,3.60,3.50,3.54,325200,3.54
NASDAQ,BBND,2010-01-08,3.57,3.61,3.52,3.58,416800,3.58
NASDAQ,BBND,2010-01-07,3.56,3.59,3.50,3.59,448400,3.59
NASDAQ,BBND,2010-01-06,3.58,3.60,3.46,3.56,425200,3.56
NASDAQ,BBND,2010-01-05,3.47,3.60,3.44,3.58,566600,3.58
NASDAQ,BBND,2010-01-04,3.45,3.47,3.35,3.47,436800,3.47
NASDAQ,BBND,2009-12-31,3.47,3.50,3.43,3.44,257300,3.44
NASDAQ,BBND,2009-12-30,3.29,3.47,3.26,3.47,653600,3.47
NASDAQ,BBND,2009-12-29,3.34,3.38,3.20,3.30,1050000,3.30
NASDAQ,BBND,2009-12-28,3.33,3.40,3.30,3.38,174600,3.38
NASDAQ,BBND,2009-12-24,3.34,3.38,3.30,3.31,126100,3.31
NASDAQ,BBND,2009-12-23,3.34,3.40,3.32,3.35,222000,3.35
NASDAQ,BBND,2009-12-22,3.41,3.41,3.24,3.32,691700,3.32
NASDAQ,BBND,2009-12-21,3.49,3.51,3.41,3.50,244400,3.50
NASDAQ,BBND,2009-12-18,3.43,3.50,3.39,3.49,374000,3.49
NASDAQ,BBND,2009-12-17,3.47,3.48,3.35,3.39,218800,3.39
NASDAQ,BBND,2009-12-16,3.50,3.56,3.46,3.48,688900,3.48
NASDAQ,BBND,2009-12-15,3.51,3.57,3.50,3.50,133400,3.50
NASDAQ,BBND,2009-12-14,3.54,3.57,3.50,3.54,127800,3.54
NASDAQ,BBND,2009-12-11,3.53,3.56,3.49,3.51,110800,3.51
NASDAQ,BBND,2009-12-10,3.57,3.57,3.46,3.53,256200,3.53
NASDAQ,BBND,2009-12-09,3.65,3.68,3.50,3.59,185100,3.59
NASDAQ,BBND,2009-12-08,3.51,3.70,3.51,3.65,476400,3.65
NASDAQ,BBND,2009-12-07,3.42,3.54,3.39,3.53,322100,3.53
NASDAQ,BBND,2009-12-04,3.43,3.47,3.38,3.43,365700,3.43
NASDAQ,BBND,2009-12-03,3.45,3.51,3.35,3.36,256600,3.36
NASDAQ,BBND,2009-12-02,3.54,3.54,3.32,3.45,607800,3.45
NASDAQ,BBND,2009-12-01,3.60,3.65,3.40,3.61,400300,3.61
NASDAQ,BBND,2009-11-30,3.63,3.71,3.54,3.59,374500,3.59
NASDAQ,BBND,2009-11-27,3.51,3.71,3.50,3.65,130200,3.65
